normalized_frequency,normalized_beta,source
0.8,0.050000,fig1_visual_approximation
1.0,0.200000,fig1_visual_approximation
1.2,0.350000,fig1_visual_approximation
1.4,0.475000,fig1_visual_approximation
1.6,0.500000,fig1_visual_approximation
1.8,0.625000,fig1_visual_approximation
2.0,0.675000,fig1_visual_approximation
2.2,0.725000,fig1_visual_approximation
2.4,0.760000,fig1_visual_approximation
2.6,0.800000,fig1_visual_approximation
2.8,0.825000,fig1_visual_approximation
3.0,0.840000,fig1_visual_approximation
3.2,0.860000,fig1_visual_approximation
3.4,0.875000,fig1_visual_approximation
3.6,0.890000,fig1_visual_approximation
3.8,0.900000,fig1_visual_approximation
4.0,0.910000,fig1_visual_approximation
